ibge_code,city,state_uf,state_name,city_search
2922755,Nova Ibiá,BA,Bahia,nova ibia
2922805,Nova Itarana,BA,Bahia,nova itarana
2922854,Nova Redenção,BA,Bahia,nova redencao
2922904,Nova Soure,BA,Bahia,nova soure
2923001,Nova Viçosa,BA,Bahia,nova vicosa
2923035,Novo Horizonte,BA,Bahia,novo horizonte
2923050,Novo Triunfo,BA,Bahia,novo triunfo
2923100,Olindina,BA,Bahia,olindina
2923209,Oliveira dos Brejinhos,BA,Bahia,oliveira dos brejinhos
2923308,Ouriçangas,BA,Bahia,ouricangas
2923357,Ourolândia,BA,Bahia,ourolandia
2923407,Palmas de Monte Alto,BA,Bahia,palmas de monte alto
2923506,Palmeiras,BA,Bahia,palmeiras
2923605,Paramirim,BA,Bahia,paramirim
2923704,Paratinga,BA,Bahia,paratinga
2923803,Paripiranga,BA,Bahia,paripiranga
2923902,Pau Brasil,BA,Bahia,pau brasil
2924009,Paulo Afonso,BA,Bahia,paulo afonso
2924058,Pé de Serra,BA,Bahia,pe de serra
2924108,Pedrão,BA,Bahia,pedrao
2924207,Pedro Alexandre,BA,Bahia,pedro alexandre
2924306,Piatã,BA,Bahia,piata
2924405,Pilão Arcado,BA,Bahia,pilao arcado
2924504,Pindaí,BA,Bahia,pindai
2924603,Pindobaçu,BA,Bahia,pindobacu
2924652,Pintadas,BA,Bahia,pintadas
2924678,Piraí do Norte,BA,Bahia,pirai do norte
2924702,Piripá,BA,Bahia,piripa
2924801,Piritiba,BA,Bahia,piritiba
2924900,Planaltino,BA,Bahia,planaltino
2925006,Planalto,BA,Bahia,planalto
2925105,Poções,BA,Bahia,pocoes
2925204,Pojuca,BA,Bahia,pojuca
2925253,Ponto Novo,BA,Bahia,ponto novo
2925303,Porto Seguro,BA,Bahia,porto seguro
2925402,Potiraguá,BA,Bahia,potiragua
2925501,Prado,BA,Bahia,prado
2925600,Presidente Dutra,BA,Bahia,presidente dutra
2925709,Presidente Jânio Quadros,BA,Bahia,presidente janio quadros
2925758,Presidente Tancredo Neves,BA,Bahia,presidente tancredo neves
2925808,Queimadas,BA,Bahia,queimadas
2925907,Quijingue,BA,Bahia,quijingue
2925931,Quixabeira,BA,Bahia,quixabeira
